(-0.3649951345549543, -9.99333670761429)
(0.7156839165927011, -9.97435694827143)
(0.8528766457134761, -9.963563691129622)
(2.3034967996179496, -9.731079205008552)
(3.0340356548316, -9.528621497635982)
(3.3962022035241803, -9.40562653908699)
(4.087463251504769, -9.126480382250218)
(4.520765886888799, -8.919791241724356)
(5.230024686078889, -8.523311667597604)
(5.281439715000454, -8.491548418092894)
(6.019832990969246, -7.985086772279827)
(6.086334354043328, -7.934515368363212)
(6.255158307421709, -7.802114748521274)
(6.454874995950877, -7.637708346529616)
(6.983829406689617, -7.1572429620809555)
(7.217454808158891, -6.9215855186643545)
(7.396383178637524, -6.73004575577075)
(7.662397606391114, -6.425547674834553)
(8.146547487089215, -5.7994623923774515)
(8.981402711368837, -4.39709055356113)
(9.32613461477843, -3.6087689240281886)
(9.38136576733238, -3.4626545221150975)
(9.482553592229308, -3.1750869862885684)
(9.503332164653155, -3.1123428102104644)
(9.798046836341399, -1.999569501882918)
(9.877286870163072, -1.5617951480601397)
(9.879001673307933, -1.550911325246887)
(9.91183774319815, -1.3249424713973834)
(9.930267533368692, -1.178892156104049)
(9.968230512564373, -0.7964800363980311)
(9.993946783866052, -0.3478903293473332)
(9.999962513813793, -0.0273810576659249)
(9.965658265419492, 0.8280430767032289)
(9.86144706734765, 1.6588736353021147)
(9.752834328777011, 2.2095751979574434)
(9.696517705783535, 2.444901712017561)
(9.613709646490852, 2.752560050747074)
(9.106790874599387, 4.131145115620284)
(8.95861035283555, 4.44334339727054)
(8.381651212247315, 5.4541656517044945)
(8.322739523375006, 5.5436456259443165)
(7.786672536111093, 6.274370949774427)
(7.760545718035459, 6.306657605917854)
(5.853251041504923, 8.107986941597867)
(5.553387932084128, 8.316242088574764)
(4.553792860522757, 8.902975378122303)
(3.825273492290286, 9.23944168817474)
(3.554671115476265, 9.346887891742295)
(2.9157522784533576, 9.565479007906193)
(2.619841938447677, 9.650721642320367)
(1.8604653430508504, 9.825409340445145)
(1.753748670870829, 9.84501729807616)
(1.1258084302346913, 9.936425684239405)
(0.8587200124571326, 9.96306177538841)
(0.8079715994583819, 9.967305648693065)
(0.6417545320900321, 9.979386309815945)
(-0.21232870937785545, 9.99774557183638)
(-1.2019236332458292, 9.927506211523877)
(-2.247978309808134, 9.744054264967543)
(-2.401006181778893, 9.707480070289073)
(-3.4809804250795624, 9.37458133892991)
(-3.9544770068005466, 9.1848849531546)
(-4.043838890654132, 9.145893451513261)
(-4.098992334415453, 9.121308121229287)
(-4.496886644662974, 8.931853699263764)
(-5.118825528940382, 8.59055441774675)
(-6.336205749860734, 7.736439536080649)
(-7.012023098095077, 7.129623557508568)
(-8.423879182412685, 5.388715943535544)
(-8.527495647010605, 5.223199976088909)
(-8.757271296294071, 4.828063736437617)
(-8.845515952859387, 4.664423600801079)
(-9.401717982525645, 3.407007334458485)
(-9.543687774816592, 2.9863060219636455)
(-9.778896519180902, 2.091215643388225)
(-9.796281712566422, 2.0081993446958153)
(-9.867765855023698, 1.620863051102219)
(-9.959687737374704, 0.8970062285112352)
(-9.99616061595135, 0.2770793029136797)
(-9.777855170771723, -2.096079258857518)
(-9.740761565181113, -2.262203379515284)
(-9.683410268190874, -2.4963103929390567)
(-9.50099297681375, -3.1194763109432007)
(-9.28643568228625, -3.7097321087594364)
(-8.918655383988636, -4.5230063167820695)
(-8.636441771632725, -5.041019095896919)
(-7.748904621783323, -6.320955399502914)
(-7.744337296036123, -6.326550390633422)
(-7.440867557198862, -6.680830037968742)
(-7.040021110760824, -7.101978791860896)
(-6.2262276931936364, -7.825221320353095)
(-5.8979066630094925, -8.075561713864134)
(-4.929660147712008, -8.700485666217721)
(-4.848677007540178, -8.745875100671816)
(-4.244550538683084, -9.054490086391676)
(-3.444605022604181, -9.388008108126561)
(-2.820980796772043, -9.593855707912402)
(-1.7423880221075376, -9.847034273344242)
(-1.3304778123860306, -9.911096245660643)
(-0.7063888270454197, -9.975019540082386)
(-0.3649951345549543, -9.99333670761429)
